id,index,trend,reference
118246252675,change,strong,line + text
118248526857,change,strong,line + text
118248577928,change,strong,line + text
118249067082,index,strong,line + text
118249067082,index,moderate,line + text
118249169744,index,strong,line + text
118249169744,index,moderate,line + text
118249191442,change,strong,line + text
118249225351,change,strong,line + text
118249251454,change,strong,line
118263511335,index,strong,line + text
118263511335,index,moderate,line + text
118264559669,change,strong,line + text
118267892739,index,strong,line + text
118267892739,index,moderate,line + text
118270946823,index,strong,line + text
118270946823,index,moderate,line + text
118297509148,index,strong,line + text
118297509148,index,moderate,line + text
118300652865,change,strong,line + text
118302292087,index,strong,none
118302292087,index,moderate,line + text
118303344527,change,strong,line + text
118303345427,change,strong,line + text
118303346413,index,strong,none
118303346413,index,moderate,line
118303348380,change,strong,line + text
118303348608,change,strong,line
118303355620,change,strong,line + text
118303368417,index,strong,line + text
118303368417,index,moderate,line + text
118303375496,change,strong,line + text
118303378932,change,strong,line + text
118303417099,index,strong,line + text
118303417099,index,moderate,line + text
118303428662,index,strong,none
118303428662,index,moderate,line
118303433687,index,strong,line + text
118303433687,index,moderate,line + text
118303454200,index,strong,line + text
118303454200,index,moderate,none
118303454522,change,strong,line
118303459660,change,strong,line + text
118303488219,index,strong,line
118303488219,index,moderate,line
118303496344,change,strong,line + text
118303511791,change,strong,line + text
118303712989,change,strong,line
118303771647,change,strong,line + text
118304161439,change,strong,line + text
118304170782,change,strong,line + text
118304174898,change,strong,line + text
118304179643,change,strong,line
118304335983,index,strong,line + text
118304335983,index,moderate,line + text
118305138758,index,strong,line + text
118305138758,index,moderate,line + text
118305139621,index,strong,line + text
118305139621,index,moderate,line + text
118305139768,change,strong,none
118305140840,index,strong,line + text
118305140840,index,moderate,line + text
118305143091,change,strong,line + text
118305143092,change,strong,line + text
118305143676,change,strong,line + text
118305143815,index,strong,line + text
118305143815,index,moderate,line + text
118305144285,index,strong,line + text
118305144285,index,moderate,line + text
118305145705,change,strong,line + text
118305147172,index,strong,line + text
118305147172,index,moderate,line + text
118305148813,index,strong,none
118305148813,index,moderate,line
118305149706,change,strong,line + text
118305155839,index,strong,line + text
118305155839,index,moderate,line + text
118305163320,index,strong,line + text
118305163320,index,moderate,line + text
118305170096,index,strong,line
118305170096,index,moderate,line
118305173273,index,strong,line
118305173273,index,moderate,none
118305180447,change,strong,line + text
118305181599,change,strong,line
118305183955,change,strong,line + text
118305187716,change,strong,line
118305200396,change,strong,line + text
118305202668,change,strong,line
118305203818,index,strong,line + text
118305203818,index,moderate,line + text
118305207407,change,strong,line + text
118305226456,change,strong,line + text
118305242383,change,strong,line + text
118305245044,index,strong,line + text
118305245044,index,moderate,none
118305255277,index,strong,line + text
118305255277,index,moderate,line + text
118305270478,index,strong,line + text
118305270478,index,moderate,line + text
118305323137,change,strong,line + text
118305369432,change,strong,line + text
118305384690,change,strong,line + text
118305396374,index,strong,line + text
118305396374,index,moderate,line + text
118305455349,index,strong,line + text
118305455349,index,moderate,line + text
118305545246,change,strong,line + text
118305638011,index,strong,none
118305638011,index,moderate,line
118305688588,change,strong,line + text
118305847535,index,strong,line + text
118305847535,index,moderate,line + text
118306074232,index,strong,line + text
118306074232,index,moderate,line + text
118306093495,change,strong,line + text
118306104434,index,strong,line + text
118306104434,index,moderate,line + text
118306117526,index,strong,line
118306117526,index,moderate,line
118306154638,index,strong,line + text
118306154638,index,moderate,line + text
118306184050,index,strong,none
118306184050,index,moderate,line + text
118306258728,change,strong,line + text
118306292390,index,strong,line + text
118306292390,index,moderate,line + text
118306342007,index,strong,line + text
118306342007,index,moderate,line + text
118306568786,change,strong,line + text
118307148498,index,strong,line
118307148498,index,moderate,line
118308607939,change,strong,line + text
118308618904,change,strong,line + text
118309638922,index,strong,line + text
118309638922,index,moderate,line + text
118310828804,index,strong,line + text
118310828804,index,moderate,line + text
118310848480,index,strong,line + text
118310848480,index,moderate,line + text
118310882271,index,strong,line + text
118310882271,index,moderate,line + text
118311876056,change,strong,line + text
118312594613,index,strong,line + text
118312594613,index,moderate,line + text
118314335807,change,strong,line + text
118314823881,index,strong,line + text
118314823881,index,moderate,line + text
118317754684,index,strong,line
118317754684,index,moderate,line
118320370733,change,strong,line + text
118325674575,change,strong,line + text
118328614031,change,strong,line + text
118328651355,change,strong,line + text
118328651513,index,strong,line + text
118328651513,index,moderate,line + text
118328652299,change,strong,line + text
118328653718,index,strong,line + text
118328653718,index,moderate,none
118328657222,index,strong,line + text
118328657222,index,moderate,line + text
118329108685,change,strong,line
118329505999,index,strong,line
118329505999,index,moderate,line + text
118329511509,change,strong,line + text
118331903786,index,strong,line + text
118331903786,index,moderate,line + text
118331956120,index,strong,none
118331956120,index,moderate,none
118331973808,index,strong,line + text
118331973808,index,moderate,line + text
118333066099,index,strong,line + text
118333066099,index,moderate,line + text
118334261960,change,strong,line + text
118334391101,index,strong,line + text
118334391101,index,moderate,line + text
118335200400,change,strong,line + text
118336960537,change,strong,line + text
118338868043,change,strong,line + text
118339966824,change,strong,line + text
118339991268,change,strong,line + text
118340035180,index,strong,line + text
118340035180,index,moderate,line + text
118340038205,index,strong,none
118340038205,index,moderate,line
118340042120,index,strong,line + text
118340042120,index,moderate,line + text
118340122822,change,strong,line + text
118341052602,change,strong,line
118342245149,index,strong,line + text
118342245149,index,moderate,line + text
118342662124,change,strong,line + text
118342676831,change,strong,line + text
118342739603,index,strong,line + text
118342739603,index,moderate,line
118343038223,change,strong,line + text
118349273154,change,strong,line + text
118349352774,index,strong,line + text
118349352774,index,moderate,line + text
118349445762,index,strong,line + text
118349445762,index,moderate,line + text
118350150336,change,strong,line + text
118351175530,index,strong,line + text
118351175530,index,moderate,line + text
118351314678,change,strong,line + text
118351333801,index,strong,line + text
118351333801,index,moderate,line
118352134458,change,strong,line + text
118352154730,change,strong,line
118353626025,change,strong,line + text
