id,numbers,statistics,survey
118339991268,familiar,not very familiar,451504108
118340035180,very familiar,very familiar,451504108
118340038205,familiar,familiar,451504108
118340042120,familiar,familiar,451504108
118340122822,familiar,familiar,451504108
118340220490,familiar,familiar,451504108
118341052602,very familiar,not very familiar,451504108
118342245149,familiar,familiar,451310670
118342662124,familiar,familiar,451504108
118342676831,familiar,familiar,451504108
118342739603,not very familiar,not very familiar,451504108
118342786933,very familiar,very familiar,451310531
118343038223,very familiar,familiar,451504108
118349273154,very familiar,familiar,451310670
118349352774,very familiar,familiar,451310670
118349445762,very familiar,familiar,451310670
118350150336,not very familiar,familiar,451310670
118350154129,very familiar,familiar,451310670
118351175530,very familiar,very familiar,451310670
118351314678,very familiar,familiar,451310670
118351333801,very familiar,familiar,451310670
118352117043,familiar,not very familiar,451504108
118352134458,very familiar,very familiar,451310670
118352154730,familiar,familiar,451310670
118353626025,very familiar,very familiar,451310670
